what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1279503366330
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1279503366464
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1279503366658
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1279503366712
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1279503366729
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1279503366901
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1279503366923
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1279503367188
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1279503368158
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1279503368253
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1279503368299
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279503385648
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279503387612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279503566897
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279503568425
